2.7438e-08,2.7435e-08,2.7456e-08,1.3497e-07,1.3497e-07,1.3497e-07,1.6744e-08,1.6758e-08,1.6734e-08,0,0
2.8827e-08,2.8822e-08,2.8837e-08,1.3836e-07,1.3837e-07,1.3837e-07,1.6824e-08,1.6814e-08,1.6826e-08,0,0.05
3.0295e-08,3.0284e-08,3.0306e-08,1.4186e-07,1.4183e-07,1.4185e-07,1.6893e-08,1.6872e-08,1.6875e-08,0,0.1
3.1864e-08,3.1863e-08,3.1843e-08,1.4542e-07,1.4541e-07,1.4542e-07,1.6957e-08,1.6933e-08,1.6923e-08,0,0.15
3.3512e-08,3.3513e-08,3.3492e-08,1.4908e-07,1.4907e-07,1.4908e-07,1.6959e-08,1.6972e-08,1.6994e-08,0,0.2
3.5283e-08,3.5275e-08,3.5277e-08,1.5282e-07,1.5281e-07,1.5283e-07,1.7022e-08,1.7003e-08,1.7012e-08,0,0.25
3.7161e-08,3.7159e-08,3.7155e-08,1.5664e-07,1.5664e-07,1.5663e-07,1.7034e-08,1.703e-08,1.7034e-08,0,0.3
3.9152e-08,3.9158e-08,3.9174e-08,1.6055e-07,1.6056e-07,1.6055e-07,1.7047e-08,1.7028e-08,1.7026e-08,0,0.35
4.1281e-08,4.1291e-08,4.1289e-08,1.6453e-07,1.6454e-07,1.6454e-07,1.7034e-08,1.7017e-08,1.7027e-08,0,0.4
4.356e-08,4.3571e-08,4.3541e-08,1.6861e-07,1.6862e-07,1.6863e-07,1.7013e-08,1.7035e-08,1.7018e-08,0,0.45
4.5984e-08,4.5978e-08,4.5977e-08,1.7276e-07,1.7279e-07,1.7278e-07,1.6987e-08,1.6988e-08,1.6989e-08,0,0.5
4.8546e-08,4.8561e-08,4.855e-08,1.7703e-07,1.77e-07,1.7702e-07,1.627e-08,1.6295e-08,1.6294e-08,0,0.55
5.1302e-08,5.1299e-08,5.13e-08,1.8134e-07,1.8132e-07,1.8132e-07,1.5283e-08,1.5282e-08,1.5292e-08,0,0.6
5.4212e-08,5.4232e-08,5.4228e-08,1.8571e-07,1.8571e-07,1.8571e-07,1.4276e-08,1.4276e-08,1.4285e-08,0,0.65
5.7345e-08,5.734e-08,5.7346e-08,1.9017e-07,1.9016e-07,1.9016e-07,1.3302e-08,1.3298e-08,1.3308e-08,0,0.7
6.0674e-08,6.068e-08,6.0683e-08,1.9467e-07,1.947e-07,1.9469e-07,1.2398e-08,1.2375e-08,1.2387e-08,0,0.75
6.4219e-08,6.4224e-08,6.4219e-08,1.9927e-07,1.9928e-07,1.9928e-07,1.1503e-08,1.1516e-08,1.1496e-08,0,0.8
6.8005e-08,6.8015e-08,6.803e-08,2.0393e-07,2.0391e-07,2.039e-07,1.065e-08,1.0658e-08,1.0662e-08,0,0.85
7.2077e-08,7.2067e-08,7.2082e-08,2.086e-07,2.0859e-07,2.0859e-07,9.9316e-09,9.9591e-09,9.944e-09,0,0.9
7.638e-08,7.6378e-08,7.639e-08,2.1333e-07,2.133e-07,2.1328e-07,9.1069e-09,9.1012e-09,9.1033e-09,0,0.95
8.1014e-08,8.1021e-08,8.1006e-08,2.1805e-07,2.1804e-07,2.1806e-07,8.4034e-09,8.4089e-09,8.3862e-09,0,1
8.5932e-08,8.5923e-08,8.5945e-08,2.2282e-07,2.2282e-07,2.2283e-07,7.6856e-09,7.687e-09,7.6894e-09,0,1.05
9.1199e-08,9.1206e-08,9.1218e-08,2.2762e-07,2.2761e-07,2.276e-07,6.9505e-09,6.952e-09,6.9686e-09,0,1.1
9.6827e-08,9.6809e-08,9.6828e-08,2.3239e-07,2.3236e-07,2.324e-07,6.4303e-09,6.4283e-09,6.4505e-09,0,1.15
1.0283e-07,1.0286e-07,1.0285e-07,2.3714e-07,2.3714e-07,2.3714e-07,5.7827e-09,5.795e-09,5.7949e-09,0,1.2
1.0925e-07,1.0925e-07,1.0926e-07,2.4186e-07,2.4187e-07,2.4186e-07,5.3065e-09,5.302e-09,5.3094e-09,0,1.25
1.1612e-07,1.161e-07,1.1611e-07,2.4653e-07,2.4652e-07,2.4652e-07,4.7894e-09,4.7731e-09,4.7927e-09,0,1.3
1.2344e-07,1.2345e-07,1.2345e-07,2.5113e-07,2.5112e-07,2.5113e-07,4.328e-09,4.3484e-09,4.3502e-09,0,1.35
1.3126e-07,1.3127e-07,1.3127e-07,2.5563e-07,2.5564e-07,2.5564e-07,3.8447e-09,3.8468e-09,3.8267e-09,0,1.4
1.3964e-07,1.3964e-07,1.3964e-07,2.6003e-07,2.6003e-07,2.6003e-07,3.3807e-09,3.3623e-09,3.3896e-09,0,1.45
1.4857e-07,1.4857e-07,1.4857e-07,2.6426e-07,2.6429e-07,2.6428e-07,3.0721e-09,3.0921e-09,3.0758e-09,0,1.5
1.5812e-07,1.5811e-07,1.5811e-07,2.6838e-07,2.6837e-07,2.6837e-07,2.5811e-09,2.6007e-09,2.6003e-09,0,1.55
1.6831e-07,1.6828e-07,1.683e-07,2.7227e-07,2.7228e-07,2.7229e-07,2.2528e-09,2.2349e-09,2.2494e-09,0,1.6
1.7917e-07,1.7917e-07,1.7918e-07,2.7596e-07,2.7598e-07,2.7595e-07,1.8557e-09,1.8509e-09,1.8503e-09,0,1.65
1.9078e-07,1.9076e-07,1.9077e-07,2.7939e-07,2.7939e-07,2.7938e-07,1.5205e-09,1.539e-09,1.5316e-09,0,1.7
2.0313e-07,2.0313e-07,2.0314e-07,2.8251e-07,2.8253e-07,2.8251e-07,1.2929e-09,1.2926e-09,1.2901e-09,0,1.75
