6.8274e-08,6.8651e-08,6.8396e-08,6.4783e-08,7.002e-08,6.7742e-08,6.7e-08,6.945e-08,6.9732e-08,7.0759e-08,7.5746e-08,6.7228e-08,6.8883e-08,6.7085e-08,6.647e-08,6.8825e-08,0,0
7.0104e-08,7.0544e-08,7.0315e-08,6.6616e-08,7.2008e-08,6.9613e-08,6.8825e-08,7.1358e-08,7.1657e-08,7.2739e-08,7.7847e-08,6.9066e-08,7.0799e-08,6.8959e-08,6.8308e-08,7.0749e-08,0,0.05
7.2008e-08,7.2561e-08,7.2286e-08,6.8483e-08,7.4034e-08,7.1553e-08,7.0728e-08,7.3322e-08,7.3637e-08,7.4761e-08,7.9991e-08,7.0986e-08,7.2786e-08,7.0896e-08,7.0181e-08,7.2708e-08,0,0.1
7.3977e-08,7.4593e-08,7.4334e-08,7.0461e-08,7.6166e-08,7.3548e-08,7.2668e-08,7.5356e-08,7.5719e-08,7.6829e-08,8.2228e-08,7.2967e-08,7.4814e-08,7.2871e-08,7.2153e-08,7.4792e-08,0,0.15
7.6013e-08,7.6729e-08,7.6423e-08,7.2477e-08,7.8366e-08,7.5618e-08,7.471e-08,7.7439e-08,7.7844e-08,7.9012e-08,8.4527e-08,7.5011e-08,7.6956e-08,7.4953e-08,7.4166e-08,7.692e-08,0,0.2
7.8094e-08,7.8934e-08,7.8606e-08,7.4606e-08,8.0642e-08,7.7765e-08,7.6775e-08,7.9626e-08,8.0036e-08,8.1232e-08,8.6934e-08,7.7126e-08,7.912e-08,7.7088e-08,7.6263e-08,7.9076e-08,0,0.25
8.0234e-08,8.1174e-08,8.0858e-08,7.6775e-08,8.2982e-08,7.9976e-08,7.8947e-08,8.1857e-08,8.2326e-08,8.3536e-08,8.939e-08,7.9301e-08,8.1377e-08,7.9303e-08,7.8429e-08,8.1353e-08,0,0.3
8.2471e-08,8.3522e-08,8.3201e-08,7.9029e-08,8.5415e-08,8.2274e-08,8.1183e-08,8.4169e-08,8.4695e-08,8.5937e-08,9.1925e-08,8.1554e-08,8.3711e-08,8.1574e-08,8.0682e-08,8.3712e-08,0,0.35
8.4775e-08,8.5944e-08,8.5613e-08,8.1338e-08,8.7944e-08,8.4642e-08,8.3506e-08,8.6549e-08,8.7112e-08,8.839e-08,9.4542e-08,8.388e-08,8.6153e-08,8.3954e-08,8.2978e-08,8.6134e-08,0,0.4
8.7158e-08,8.8465e-08,8.8083e-08,8.3781e-08,9.0554e-08,8.7099e-08,8.5891e-08,8.9048e-08,8.964e-08,9.0956e-08,9.7258e-08,8.6301e-08,8.8661e-08,8.6418e-08,8.5391e-08,8.8651e-08,0,0.45
8.9624e-08,9.1051e-08,9.0688e-08,8.6308e-08,9.3275e-08,8.9645e-08,8.8351e-08,9.1591e-08,9.2253e-08,9.36e-08,1.0006e-07,8.8803e-08,9.1237e-08,8.8969e-08,8.7846e-08,9.1242e-08,0,0.5
9.217e-08,9.375e-08,9.3343e-08,8.889e-08,9.6067e-08,9.226e-08,9.0928e-08,9.4241e-08,9.4959e-08,9.6325e-08,1.0296e-07,9.1392e-08,9.3912e-08,9.1579e-08,9.0411e-08,9.3911e-08,0,0.55
9.481e-08,9.6554e-08,9.6128e-08,9.1579e-08,9.8964e-08,9.4972e-08,9.3577e-08,9.6947e-08,9.7754e-08,9.9168e-08,1.0596e-07,9.405e-08,9.6702e-08,9.4294e-08,9.3078e-08,9.6701e-08,0,0.6
9.7511e-08,9.9402e-08,9.8978e-08,9.4376e-08,1.0199e-07,9.7788e-08,9.6325e-08,9.9763e-08,1.0065e-07,1.0206e-07,1.0904e-07,9.6786e-08,9.9555e-08,9.7134e-08,9.5829e-08,9.9575e-08,0,0.65
1.0034e-07,1.024e-07,1.0196e-07,9.7278e-08,1.051e-07,1.007e-07,9.9116e-08,1.0268e-07,1.0366e-07,1.051e-07,1.1223e-07,9.9651e-08,1.0254e-07,1.0003e-07,9.8676e-08,1.0258e-07,0,0.7
